1a --
математика: Иванов; 3 4 5 6 7; Петров; 3 2 3 4 5; Сидоров; 3 5 5 5 5 4 5:
русский: Иванов; 1 4 5 6 7; Петров; 1 2 3 4 5; Сидоров; 1 5 5 5 5 4 5:
английский: Иванов; 2 3 4 5 6 7; Петров; 2 2 3 4 5; Сидоров; 2 5 5 5 5 4 5
-- 1b --
математика: Ивановф; 3 4 5 6 7; Петровф; 3 2 3 4 5; Сидоровф; 3 5 5 5 5 4 5:
русский: Ивановф; 1 4 5 6 7; Петровф; 1 2 3 4 5; Сидоровф; 1 5 5 5 5 4 5:
английский: Ивановф; 2 3 4 5 6 7; Петровф; 2 2 3 4 5; Сидоровф; 2 5 5 5 5 4 5
-- 2a --
математика: Иванова; 3 4 5 6 7; Петрова; 3 2 3 4 5; Сидорова; 3 5 5 5 5 4 5:
русский: Иванова; 1 4 5 6 7; Петрова; 1 2 3 4 5; Сидорова; 1 5 5 5 5 4 5:
английский: Иванова; 2 3 4 5 6 7; Петрова; 2 2 3 4 5; Сидорова; 2 5 5 5 5 4 5
